Disaster Type,Country,Region,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day
12,79,1,200.0,0,14.381,-90.601,2000,1.0,16.0
2,13,2,4.3,2,21.431,91.762,2000,1.0,2.0
2,38,2,5.9,2,25.607,101.063,2000,1.0,14.0
2,38,2,4.9,2,24.263,103.797,2000,1.0,26.0
2,38,2,5.1,2,40.498,122.994,2000,1.0,11.0
2,89,2,5.3,2,35.288,58.218,2000,2.0,2.0
2,89,2,4.9,2,35.217,58.175,2000,2.0,14.0
2,86,3,6.5,2,63.98,-20.758,2000,6.0,21.0
2,41,1,6.5,2,7.042,-77.829,2000,11.0,8.0
12,150,2,200.0,0,13.257,123.685,2000,2.0,24.0
12,96,2,200.0,0,34.92,139.12,2000,3.0,31.0
2,88,2,7.6,2,-1.105,123.573,2000,5.0,4.0
2,203,2,4.5,2,38.164,38.777,2000,5.0,7.0
2,203,2,6.0,2,40.693,32.992,2000,6.0,6.0
2,88,2,6.7,2,-4.646,102.102,2000,6.0,4.0
2,38,2,5.6,2,37.012,103.791,2000,6.0,6.0
2,75,3,5.6,2,38.922,20.64,2000,5.0,26.0
2,86,3,6.5,2,63.966,-20.487,2000,6.0,17.0
2,136,1,5.4,2,11.884,-85.988,2000,7.0,6.0
2,96,2,6.1,2,34.221,139.131,2000,7.0,1.0
2,88,2,5.4,2,-6.675,106.845,2000,7.0,12.0
2,158,3,6.8,2,48.786,142.246,2000,8.0,4.0
2,38,2,4.9,2,25.826,102.194,2000,8.0,21.0
2,210,1,4.9,2,38.3788333,-122.4133333,2000,9.0,3.0
2,208,0,6.5,2,-7.977,30.709,2000,10.0,2.0
2,96,2,6.7,2,35.456,133.134,2000,10.0,6.0
2,192,2,4.8,2,37.451,69.498,2000,10.0,30.0
2,147,4,8.0,2,-3.98,152.169,2000,11.0,16.0
2,88,2,6.8,2,-6.549,105.63,2000,10.0,25.0
2,88,2,6.7,2,-4.612,101.905,2000,6.0,7.0
2,11,2,6.8,2,40.245,49.946,2000,11.0,25.0
12,123,1,200.0,0,19.023,-98.622,2000,12.0,18.0
2,200,2,7.0,2,39.566,54.799,2000,12.0,6.0
2,208,0,4.3,2,-9.278,33.766,2001,1.0,5.0
2,59,1,7.7,2,13.049,-88.66,2001,1.0,13.0
2,79,1,7.7,2,13.049,-88.66,2001,1.0,13.0
2,87,2,7.7,2,23.419,70.232,2001,1.0,26.0
2,144,2,7.7,2,23.419,70.232,2001,1.0,26.0
2,59,1,6.6,2,13.671,-88.938,2001,2.0,13.0
2,38,2,5.6,2,29.513,101.129,2001,2.0,23.0
2,210,1,6.8,2,47.149,-122.7266667,2001,2.0,28.0
2,96,2,6.8,2,34.083,132.526,2001,3.0,24.0
2,38,2,5.6,2,24.768,99.061,2001,4.0,12.0
2,38,2,5.5,2,27.689,101.003,2001,5.0,23.0
2,0,2,5.0,2,35.169,69.389,2001,6.0,1.0
12,213,4,200.0,0,-16.507,168.346,2001,6.0,8.0
2,149,1,8.4,2,-16.265,-73.641,2001,6.0,23.0
12,150,2,200.0,0,13.257,123.685,2001,5.0,24.0
5,31,0,1080.0,0,4.022,9.2,2001,6.0,28.0
2,147,4,6.4,2,-6.884,146.388,2001,6.0,5.0
2,203,2,5.5,2,37.238,36.206,2001,6.0,25.0
12,94,3,200.0,0,37.734,15.004,2001,7.0,18.0
2,38,2,4.6,2,24.455,102.66,2001,7.0,14.0
12,57,1,200.0,0,-1.467,-78.442,2001,8.0,14.0
2,88,2,5.0,2,-6.99,108.275,2001,6.0,28.0
2,38,2,5.6,2,26.316,100.648,2001,10.0,27.0
2,88,2,7.4,2,-4.68,102.562,2001,2.0,13.0
2,203,2,5.4,2,39.832,41.623,2001,7.0,10.0
2,75,3,6.5,2,39.059,24.244,2001,7.0,26.0
2,89,2,4.9,2,33.007,60.276,2001,10.0,8.0
2,149,1,5.8,2,-15.35,-72.516,2001,12.0,4.0
2,149,1,5.8,2,-14.258,-72.683,2001,8.0,9.0
2,213,4,7.2,2,-17.6,167.856,2002,1.0,3.0
2,192,2,5.3,2,38.673,69.902,2002,1.0,9.0
12,52,0,200.0,0,-1.52,29.25,2002,1.0,17.0
2,159,0,4.7,2,-1.684,29.077,2002,1.0,17.0
2,203,2,6.5,2,38.573,31.271,2002,2.0,3.0
2,147,4,6.7,2,-3.212,142.427,2002,1.0,10.0
12,123,1,200.0,0,19.514,-103.62,2002,2.0,6.0
2,89,2,5.4,2,28.093,51.755,2002,2.0,17.0
2,0,2,6.3,2,36.429,70.438,2002,3.0,3.0
2,144,2,6.3,2,36.429,70.438,2002,3.0,3.0
2,192,2,6.3,2,36.429,70.438,2002,3.0,3.0
2,150,2,7.5,2,6.033,124.249,2002,3.0,5.0
2,191,2,7.1,2,24.279,122.179,2002,3.0,31.0
2,0,2,6.1,2,36.062,69.315,2002,3.0,25.0
2,0,2,5.9,2,35.959,69.417,2002,4.0,12.0
2,172,3,5.7,2,42.436,21.466,2002,4.0,24.0
2,89,2,5.4,2,34.642,47.4,2002,4.0,24.0
2,72,2,4.8,2,41.765,44.96,2002,4.0,25.0
2,7,1,6.0,2,-28.937,-66.797,2002,5.0,28.0
2,89,2,6.5,2,35.626,49.047,2002,6.0,22.0
2,88,2,6.2,2,-1.196,121.333,2002,8.0,15.0
2,58,0,4.4,2,30.2,31.41,2002,8.0,24.0
2,147,4,7.6,2,-3.302,142.945,2002,9.0,8.0
2,87,2,6.5,2,13.036,93.068,2002,9.0,13.0
2,88,2,7.6,2,-1.757,134.297,2002,10.0,10.0
2,208,0,5.5,2,-2.907,33.733,2002,5.0,18.0
2,38,2,5.3,2,30.916,99.927,2002,8.0,8.0
2,94,3,4.3,2,37.67,15.267,2002,10.0,29.0
2,94,3,5.9,2,41.789,14.872,2002,10.0,31.0
2,144,2,5.4,2,35.517,74.654,2002,11.0,2.0
2,144,2,6.3,2,35.414,74.515,2002,11.0,20.0
2,75,3,5.7,2,37.747,21.087,2002,12.0,2.0
2,213,4,5.9,2,-14.49,167.827,2002,11.0,27.0
2,89,2,5.2,2,34.594,47.454,2002,12.0,24.0
2,88,2,6.4,2,-1.68,134.234,2002,9.0,20.0
2,89,2,5.6,2,31.995,49.329,2002,9.0,25.0
2,88,2,7.4,2,2.824,96.085,2002,11.0,2.0
2,38,2,5.6,2,39.736,97.443,2002,12.0,14.0
12,57,1,200.0,0,-1.467,-78.442,2002,10.0,2.0
2,94,3,6.0,2,38.381,13.701,2002,9.0,6.0
2,123,1,7.6,2,18.77,-104.104,2003,1.0,22.0
2,89,2,5.2,2,29.59,51.474,2003,1.0,11.0
2,88,2,5.5,2,-8.807,118.524,2003,1.0,23.0
2,38,2,6.3,2,39.61,77.23,2003,2.0,24.0
2,38,2,6.4,2,37.529,96.476,2003,4.0,17.0
2,94,3,5.0,2,44.792,8.892,2003,4.0,11.0
2,203,2,6.4,2,39.007,40.464,2003,5.0,1.0
2,38,2,5.8,2,39.43,77.219,2003,5.0,4.0
2,0,2,4.6,2,35.893,70.62,2003,4.0,10.0
2,2,0,6.8,2,36.964,3.634,2003,5.0,21.0
2,96,2,7.0,2,38.849,141.568,2003,5.0,26.0
2,88,2,7.0,2,2.354,128.855,2003,5.0,27.0
2,2,0,5.8,2,36.939,3.578,2003,5.0,27.0
2,98,2,5.5,2,42.946,72.764,2003,5.0,23.0
2,89,2,5.2,2,35.476,60.784,2003,7.0,3.0
12,57,1,200.0,0,-1.467,-78.442,2003,6.0,5.0
2,38,2,6.0,2,25.975,101.29,2003,7.0,21.0
2,96,2,5.5,2,38.432,141.003,2003,7.0,25.0
2,38,2,5.4,2,43.77,119.643,2003,8.0,16.0
2,146,1,5.4,2,9.355,-79.941,2003,8.0,13.0
2,88,2,6.0,2,1.142,128.152,2003,8.0,11.0
2,89,2,5.8,2,28.355,54.169,2003,7.0,10.0
2,13,2,5.7,2,22.854,92.306,2003,7.0,26.0
2,96,2,7.4,2,41.774,143.593,2003,9.0,25.0
2,56,1,6.4,2,19.777,-70.673,2003,9.0,22.0
2,158,3,7.3,2,50.038,87.813,2003,9.0,27.0
2,38,2,5.6,2,25.954,101.254,2003,10.0,16.0
2,38,2,5.8,2,38.383,100.975,2003,10.0,25.0
2,38,2,5.1,2,34.712,103.834,2003,11.0,13.0
2,38,2,5.6,2,27.372,103.971,2003,11.0,14.0
2,38,2,6.0,2,42.905,80.515,2003,12.0,1.0
2,38,2,4.7,2,27.283,103.753,2003,11.0,26.0
2,210,1,6.5,2,35.7005,-121.1005,2003,12.0,22.0
2,45,1,6.5,2,8.416,-82.824,2003,12.0,25.0
2,146,1,6.5,2,8.416,-82.824,2003,12.0,25.0
2,89,2,6.6,2,28.995,58.311,2003,12.0,26.0
2,203,2,4.5,2,38.111,28.887,2003,7.0,26.0
2,89,2,5.0,2,31.953,49.209,2003,12.0,11.0
2,203,2,5.8,2,38.221,26.958,2003,4.0,10.0
2,88,2,5.8,2,-8.31,115.788,2004,1.0,1.0
2,2,0,4.5,2,36.852,3.418,2004,1.0,10.0
2,88,2,7.0,2,-3.615,135.538,2004,2.0,5.0
2,144,2,5.5,2,34.774,73.216,2004,2.0,14.0
2,128,0,6.4,2,35.142,-3.997,2004,2.0,24.0
2,88,2,5.1,2,-0.466,100.655,2004,2.0,16.0
2,38,2,5.5,2,45.382,118.256,2004,3.0,24.0
2,203,2,5.6,2,39.93,40.812,2004,3.0,25.0
2,203,2,5.6,2,39.847,40.874,2004,3.0,28.0
2,192,2,4.3,2,39.57,67.479,2004,4.0,1.0
2,89,2,6.3,2,36.29,51.61,2004,5.0,28.0
2,158,3,4.9,2,47.311,142.12,2004,5.0,31.0
2,203,2,5.1,2,39.766,43.979,2004,7.0,1.0
2,38,2,5.4,2,27.266,103.873,2004,8.0,10.0
2,41,1,5.1,2,2.265,-76.595,2004,8.0,18.0
2,0,2,5.2,2,33.426,69.524,2004,7.0,18.0
2,38,2,4.8,2,25.073,99.169,2004,10.0,18.0
2,96,2,6.6,2,37.226,138.779,2004,10.0,23.0
2,88,2,7.5,2,-8.152,124.868,2004,11.0,11.0
2,38,2,5.2,2,34.682,103.781,2004,9.0,7.0
2,41,1,7.2,2,4.695,-77.508,2004,11.0,15.0
2,55,1,6.3,2,15.679,-61.706,2004,11.0,21.0
2,77,1,6.3,2,15.679,-61.706,2004,11.0,21.0
2,45,1,6.4,2,9.602,-84.172,2004,11.0,20.0
2,88,2,7.1,2,-3.609,135.404,2004,11.0,26.0
2,2,0,4.5,2,36.848,3.448,2004,12.0,1.0
2,13,2,9.1,2,3.295,95.982,2004,12.0,26.0
2,88,2,9.1,2,3.295,95.982,2004,12.0,26.0
2,87,2,9.1,2,3.295,95.982,2004,12.0,26.0
