Classification Key,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,OFDA/BHA Response,Appeal,Declaration,Magnitude,Start Year,Start Month,End Year,End Month,Total Deaths,No. Injured,No. Affected,Total Affected,CPI,Entry Year,Entry Month
-0.75,-2.0,0,-1.1428571428571428,0.0,0.0,0.3333333333333333,-2.0,1.0,0.0,0.0,0.0,-0.7142857142857143,-0.2,-0.7142857142857143,0.0,0.0,0.0,4.530703787698438,3.6532562620423894,-0.9607557641740269,-0.5833333333333334,-0.6666666666666666
-0.75,-2.0,0,-1.1428571428571428,0.0,0.0,-0.4444444444444444,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7142857142857143,0.0,0.0,0.0,99.75567277693551,76.87098265895953,-1.0584246937633903,-0.5833333333333334,-0.6666666666666666
-0.75,-2.0,0,-1.1428571428571428,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7142857142857143,0.0,0.6,0.0,59.660948991993585,46.04246628131021,-1.0584246937633903,-0.5833333333333334,-0.6666666666666666
0.0,0.0,4,0.2857142857142857,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,1.0,46800.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,1.2666666666666666,0.0,3.0271516457631154,2.4971868978805394,-1.0584246937633903,-0.6666666666666666,-0.8333333333333334
0.25,1.0,3,-1.2857142857142858,-3.0,-3.0,0.1111111111111111,0.0,0.0,0.0,0.0,-193.6,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,2.466666666666667,0.0,0.0,0.0,-1.0584246937633903,-0.8333333333333334,0.0
-0.375,-1.0,8,-1.7142857142857142,0.0,0.0,-0.6666666666666666,-1.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,0.0,-0.44104196163436116,-0.16947976878612717,-1.0584246937633903,0.08333333333333333,0.0
1.0,1.0,7,0.5714285714285714,-1.0,-1.0,0.1111111111111111,0.0,0.0,0.0,0.0,-80.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.6,0.0,0.0,0.011637764932562621,-1.0584246937633903,-0.8333333333333334,0.0
0.0,0.0,4,0.2857142857142857,0.0,0.0,0.3333333333333333,-2.0,1.0,0.0,0.0,1780.0,-0.7857142857142857,-1.2,-0.7857142857142857,-0.8,52.53333333333333,0.0,225.05168460487903,173.21009633911368,-1.0584246937633903,-0.6666666666666666,0.3333333333333333
-1.125,-2.0,9,0.14285714285714285,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,0.0,-0.4310182806881257,-0.15213872832369943,-1.0584246937633903,-0.6666666666666666,0.0
0.0,0.0,4,0.2857142857142857,-2.75,-2.75,-0.6666666666666666,-1.0,0.0,0.0,1.0,349800.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.9333333333333333,0.0,0.0,2.4971868978805394,-1.0584246937633903,-0.6666666666666666,0.0
0.25,1.0,3,-1.2857142857142858,-1.25,-1.5,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,17.533333333333335,0.0,0.0,0.0,-1.0584246937633903,-0.8333333333333334,0.0
1.125,1.0,7,0.7142857142857143,1.5,1.5,-0.3333333333333333,-1.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.7333333333333333,-23.0,0.0,-0.1940655105973025,-1.0584246937633903,-0.8333333333333334,0.0
-0.5,-1.0,1,-0.42857142857142855,-3.0,-3.0,0.1111111111111111,0.0,0.0,0.0,0.0,-195.7,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,0.0,-0.4310182806881257,-0.16177263969171485,-1.0584246937633903,-0.16666666666666666,-0.5
0.5,1.0,7,-1.4285714285714286,0.0,0.0,-0.7777777777777778,1.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.13333333333333333,0.0,0.0,-0.188747591522158,-1.0584246937633903,-0.8333333333333334,0.0
0.25,1.0,3,-1.2857142857142858,0.0,0.0,-0.7777777777777778,1.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,0.0,0.0,0.0,-1.0584246937633903,-0.8333333333333334,0.0
-0.5,-1.0,1,-0.42857142857142855,-2.5,-2.5,-0.8888888888888888,0.0,1.0,0.0,0.0,-194.1,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.3333333333333333,2493.0,87.72725564145293,71.2835838150289,-1.0584246937633903,-0.8333333333333334,0.3333333333333333
-0.5,-1.0,1,-0.42857142857142855,-2.5,-2.5,-0.8888888888888888,0.0,0.0,0.0,0.0,-195.1,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.7333333333333333,-33.0,0.03508288331182419,0.1966859344894027,-1.0584246937633903,-0.25,-0.6666666666666666
1.25,1.0,7,0.8571428571428571,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,-47.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,-0.6666666666666666,0.0,0.0,-0.1771868978805395,-1.0584246937633903,-0.8333333333333334,0.0
-0.25,0.0,4,-0.8571428571428571,0.75,0.75,0.0,0.0,0.0,0.0,0.0,16500.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.0,2.533333333333333,0.0,7.231334026637932,5.729749518304431,-1.0584246937633903,-0.75,0.5
-0.5,-1.0,1,-0.42857142857142855,-2.5,-2.5,-0.8888888888888888,0.0,0.0,0.0,0.0,-194.9,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,-5.0,1.7240731227525028,2.190057803468208,-1.0584246937633903,-0.8333333333333334,0.3333333333333333
0.0,0.0,4,0.2857142857142857,0.0,0.0,0.3333333333333333,-2.0,1.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-0.8,4.733333333333333,0.0,0.0,-0.19260115606936415,-1.0584246937633903,-0.6666666666666666,0.3333333333333333
0.0,0.0,4,0.2857142857142857,0.0,0.0,0.3333333333333333,-2.0,1.0,0.0,0.0,0.0,-0.7857142857142857,-1.0,-0.7857142857142857,-1.0,-0.6,0.0,4.870306098156895,5.147514450867052,-1.0584246937633903,-0.8333333333333334,0.0
1.0,1.0,7,0.5714285714285714,0.0,0.0,-0.8888888888888888,0.0,1.0,1.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-0.6,-0.5333333333333333,0.0,24.5780656801694,19.06751445086705,-1.0584246937633903,-0.6666666666666666,0.0
-0.5,-1.0,1,-0.42857142857142855,-1.0,-1.0,0.1111111111111111,0.0,0.0,0.0,0.0,-194.7,-0.7857142857142857,-1.0,-0.7857142857142857,-1.0,-0.7333333333333333,-20.0,-0.40595907832253697,-0.12265895953757225,-1.0584246937633903,0.08333333333333333,-0.6666666666666666
-0.875,-3.0,2,1.0,1.0,1.0,-0.7777777777777778,1.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.0,0.0,-0.45286990515091907,-0.17857418111753373,-1.0584246937633903,-0.8333333333333334,0.0
-0.875,-3.0,2,1.0,0.0,0.0,0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,-0.7857142857142857,-1.2,-0.7857142857142857,-1.2,0.8,0.0,0.0,0.0,-1.0584246937633903,-0.8333333333333334,0.0
