Year,Dis Mag Scale,Dis Mag Value,Country,Longitude,Latitude,Disaster Type
1900.0,0,47350.38030731904,31,2376,1242,1
1900.0,0,47350.38030731904,89,2376,1242,1
1902.0,2,8.0,80,482,662,2
1902.0,0,47350.38030731904,80,2376,1242,13
1902.0,0,47350.38030731904,80,2376,1242,13
1903.0,0,47350.38030731904,34,2376,1242,11
1903.0,0,47350.38030731904,42,2376,1242,13
1904.0,1,47350.38030731904,15,2376,1242,12
1905.0,0,47350.38030731904,34,2376,1242,11
1905.0,2,8.0,89,2151,1329,2
1906.0,2,8.0,39,2088,1371,2
1906.0,2,9.0,41,2192,542,2
1906.0,0,47350.38030731904,18,2376,1242,5
1906.0,0,47350.38030731904,18,2376,1242,5
1906.0,1,47350.38030731904,86,2376,1242,12
1907.0,2,7.0,40,2045,1736,2
1907.0,3,47350.38030731904,89,2376,1242,3
1908.0,0,47350.38030731904,34,2376,1242,11
1909.0,1,47350.38030731904,15,2376,1242,12
1909.0,1,47350.38030731904,15,2376,1242,12
1909.0,3,47350.38030731904,40,2376,1242,3
1909.0,2,6.0,66,1960,2064,2
1909.0,1,47350.38030731904,84,2376,1242,12
1909.0,3,47350.38030731904,90,2376,1242,3
1910.0,0,47350.38030731904,29,2376,1242,1
1910.0,0,47350.38030731904,34,2376,1242,10
1910.0,3,47350.38030731904,40,2376,1242,3
1910.0,0,47350.38030731904,31,2376,1242,1
1910.0,2,47350.38030731904,46,428,2361,2
1910.0,2,6.0,2,1692,1555,2
1910.0,0,47350.38030731904,70,2376,1242,1
1910.0,0,47350.38030731904,82,2376,1242,1
1911.0,1,47350.38030731904,15,2376,1242,12
1911.0,0,1294994.0,34,2376,1242,14
1911.0,0,47350.38030731904,40,2376,1242,5
1912.0,1,47350.38030731904,34,2376,1242,12
1912.0,1,47350.38030731904,40,2376,1242,12
1914.0,2,8.0,90,599,268,2
1915.0,0,47350.38030731904,34,2376,1242,10
1915.0,0,3000.0,40,2376,1242,5
1915.0,1,47350.38030731904,84,2376,1242,12
1916.0,1,47350.38030731904,89,2376,1242,12
1917.0,2,7.0,40,665,1165,2
1917.0,0,47350.38030731904,40,2376,1242,5
1917.0,2,6.0,80,473,670,2
1917.0,2,7.0,90,834,411,2
1918.0,2,7.0,40,846,996,2
1918.0,3,47350.38030731904,15,2376,1242,3
1918.0,3,47350.38030731904,34,2376,1242,3
1919.0,3,47350.38030731904,5,2376,1242,3
1919.0,0,47350.38030731904,5,2376,1242,1
1919.0,1,47350.38030731904,15,2376,1242,12
1919.0,0,47350.38030731904,90,2376,1242,13
1920.0,2,9.0,40,698,1612,2
1920.0,0,47350.38030731904,31,2376,1242,1
1920.0,3,47350.38030731904,5,2376,1242,3
1920.0,0,47350.38030731904,40,2376,1242,1
1920.0,0,47350.38030731904,74,2376,1242,5
1920.0,3,47350.38030731904,89,2376,1242,3
1920.0,3,47350.38030731904,89,2376,1242,3
1921.0,3,47350.38030731904,5,2376,1242,3
1922.0,2,9.0,39,254,233,2
1922.0,3,47350.38030731904,5,2376,1242,3
1922.0,1,47350.38030731904,15,2376,1242,12
1922.0,0,5179.0,34,2376,1242,14
1922.0,1,47350.38030731904,40,2376,1242,12
1923.0,3,47350.38030731904,5,2376,1242,3
1923.0,1,47350.38030731904,15,2376,1242,12
1923.0,2,7.0,40,568,1308,2
1923.0,1,47350.38030731904,86,2376,1242,12
1924.0,2,7.0,57,393,27,2
1924.0,2,47350.38030731904,90,763,418,2
1924.0,1,47350.38030731904,89,2376,1242,12
1924.0,3,47350.38030731904,89,2376,1242,3
1925.0,2,7.0,40,559,1070,2
1925.0,0,47350.38030731904,74,2376,1242,5
1925.0,1,47350.38030731904,89,2376,1242,12
1926.0,0,47350.38030731904,18,2376,1242,5
1926.0,1,47350.38030731904,15,2376,1242,12
1926.0,1,47350.38030731904,13,2376,1242,12
1926.0,0,47350.38030731904,41,2376,1242,10
1926.0,1,47350.38030731904,48,2376,1242,12
1926.0,0,47350.38030731904,74,2376,1242,5
1926.0,2,47350.38030731904,58,1571,1263,2
1926.0,0,47350.38030731904,66,2376,1242,10
1926.0,0,47350.38030731904,89,2376,1242,5
1926.0,3,47350.38030731904,89,2376,1242,3
1927.0,2,6.0,90,917,16,2
1927.0,2,8.0,40,619,1663,2
1927.0,1,47350.38030731904,40,2376,1242,12
1927.0,0,47350.38030731904,2,2376,1242,5
1927.0,1,47350.38030731904,89,2376,1242,12
1927.0,1,47350.38030731904,89,2376,1242,12
1928.0,0,47350.38030731904,18,2376,1242,5
1928.0,2,47350.38030731904,28,2376,1242,2
1928.0,2,7.0,34,1938,2145,2
1928.0,2,47350.38030731904,39,2090,1504,2
1928.0,0,47350.38030731904,40,2376,1242,1
1928.0,1,47350.38030731904,78,2376,1242,12
1928.0,2,47350.38030731904,76,1440,1696,2
1928.0,2,3.0,90,949,2316,2
1929.0,1,47350.38030731904,13,2376,1242,12
1929.0,1,47350.38030731904,74,2376,1242,12
1930.0,0,47350.38030731904,18,2376,1242,5
1930.0,1,47350.38030731904,18,2376,1242,12
1930.0,1,47350.38030731904,55,2376,1242,12
1930.0,1,47350.38030731904,56,2376,1242,12
1930.0,0,47350.38030731904,66,2376,1242,10
1930.0,1,47350.38030731904,76,2376,1242,12
1930.0,0,47350.38030731904,90,2376,1242,13
1931.0,0,47350.38030731904,34,2376,1242,1
1931.0,0,47350.38030731904,40,2376,1242,5
1931.0,1,47350.38030731904,19,2376,1242,12
1931.0,0,47350.38030731904,57,2376,1242,10
1931.0,1,47350.38030731904,64,2376,1242,12
1931.0,1,47350.38030731904,85,2376,1242,12
1931.0,0,47350.38030731904,90,2376,1242,13
1932.0,1,47350.38030731904,48,2376,1242,12
1932.0,0,47350.38030731904,66,2376,1242,10
1932.0,2,7.0,90,1042,502,2
1933.0,2,8.0,40,647,1322,2
1933.0,0,47350.38030731904,40,2376,1242,5
1934.0,0,47350.38030731904,40,2376,1242,10
1935.0,1,47350.38030731904,13,2376,1242,12
1935.0,0,150000.0,40,2376,1242,5
1935.0,1,47350.38030731904,48,2376,1242,12
1935.0,1,47350.38030731904,84,2376,1242,12
1935.0,1,47350.38030731904,89,2376,1242,12
1936.0,2,7.0,90,2359,2220,2
1936.0,4,47350.38030731904,34,2376,1242,4
1936.0,2,47350.38030731904,90,2396,1245,2
1936.0,1,47350.38030731904,89,2376,1242,12
1937.0,1,47350.38030731904,15,2376,1242,12
1937.0,1,47350.38030731904,86,2376,1242,12
1938.0,2,8.0,90,873,7,2
1939.0,2,8.0,39,284,315,2
1939.0,2,6.0,75,7,2168,2
1939.0,0,5000.0,9,2376,1242,14
1939.0,0,47350.38030731904,40,2376,1242,5
1940.0,0,47350.38030731904,29,2376,1242,1
1940.0,0,47350.38030731904,31,2376,1242,1
1940.0,0,47350.38030731904,70,2376,1242,1
1940.0,0,47350.38030731904,82,2376,1242,1
1941.0,1,47350.38030731904,15,2376,1242,12
1941.0,1,47350.38030731904,64,2376,1242,12
1942.0,0,47350.38030731904,89,2376,1242,1
1942.0,1,47350.38030731904,15,2376,1242,12
1942.0,2,47350.38030731904,40,2376,1242,2
1942.0,1,47350.38030731904,45,2376,1242,12
1942.0,2,47350.38030731904,57,405,1,2
1942.0,1,47350.38030731904,89,2376,1242,12
1943.0,2,8.0,39,267,282,2
1943.0,0,47350.38030731904,15,2376,1242,1
1943.0,1,47350.38030731904,45,2376,1242,12
1943.0,2,7.0,90,766,462,2
1943.0,1,47350.38030731904,89,2376,1242,12
1944.0,1,262.0,48,2376,1242,12
1944.0,2,7.0,7,2021,281,2
1944.0,0,5000.0,9,2376,1242,14
1944.0,1,47350.38030731904,89,2376,1242,12
1945.0,3,47350.38030731904,18,2376,1242,3
1945.0,1,47350.38030731904,13,2376,1242,12
1945.0,1,47350.38030731904,89,2376,1242,12
1946.0,2,8.0,39,249,221,2
1946.0,2,8.0,56,228,850,2
1946.0,0,47350.38030731904,31,2376,1242,1
1946.0,1,47350.38030731904,12,2376,1242,12
1946.0,1,47350.38030731904,34,2376,1242,12
1946.0,1,47350.38030731904,45,2376,1242,12
1946.0,2,47350.38030731904,2,1848,1538,2
1947.0,1,47350.38030731904,15,2376,1242,12
1947.0,0,47350.38030731904,15,2376,1242,1
1947.0,3,47350.38030731904,58,2376,1242,3
1947.0,1,47350.38030731904,86,2376,1242,12
1948.0,1,47350.38030731904,21,2376,1242,12
1948.0,0,47350.38030731904,26,2376,1242,5
1948.0,0,47350.38030731904,39,2376,1242,13
1948.0,1,47350.38030731904,40,2376,1242,12
1948.0,1,47350.38030731904,40,2376,1242,12
1948.0,0,47350.38030731904,40,2376,1242,5
1948.0,1,47350.38030731904,48,2376,1242,12
1948.0,1,47350.38030731904,48,2376,1242,12
1948.0,0,47350.38030731904,89,2376,1242,10
1949.0,2,7.0,57,387,33,2
1949.0,2,7.0,39,315,318,2
1949.0,2,8.0,39,259,379,2
1949.0,1,47350.38030731904,26,2376,1242,12
1949.0,0,47350.38030731904,40,2376,1242,5
1949.0,0,47350.38030731904,41,2376,1242,13
1949.0,0,47350.38030731904,66,2376,1242,14
1949.0,0,47350.38030731904,80,2376,1242,5
1949.0,1,47350.38030731904,89,2376,1242,12
1950.0,2,9.0,89,2386,1187,2
1950.0,1,47350.38030731904,6,2376,1242,12
